Recipe_Name,Recipe_Ingredients,Cuisine
Old rag pie,"100g/3½oz soft unsalted butter 1 x 270g/9½oz packet frozen filo pastry, thawed 200-250g/7-9oz feta cheese 2 tsp grated Parmesan (or alternative vegetarian hard cheese) 2 tsp fresh thyme leaves or 1 tsp dried 2 large free-range eggs 150ml/5fl oz full-fat milk 1 tbsp sesame seeds 1 jar good-quality clear honey (such as Greek thyme honey or orange blossom honey)",thai_and_south-east_asian
Spinach and feta pie (Spanakopita),"200g/7oz strong white flour  100-120ml/3½-4fl oz warm water 1 tbsp olive oil pinch salt cornflour, for dusting 70g/2½oz butter, melted 1 egg yolk, for glaze 900g/2lb spinach salt and freshly ground pepper freshly grated nutmeg, to taste 1 lemon, zest only 1 large free-range egg, beaten  200g/7oz feta 1 tbsp sesame seeds 1 tbsp crushed sea salt",thai_and_south-east_asian
Greek apricots,"250ml/8¾fl oz cold water 50g/1¾oz caster sugar 1 cinnamon stick small pinch saffron strands 1 tbsp honey 12 apricots, halved 150g/5¼oz tub Greek yoghurt 50g/1¾oz pistachios, crushed",thai_and_south-east_asian
Flaounes,"500g/1lb 2oz pecorino romano cheese (or a vegetarian alternative) 250g/9oz halloumi cheese 75g/2½oz plain flour 90g/3¼oz fine semolina  7g instant yeast 2 tsp dried mint 100g/3½oz sultanas 4 large free-range eggs  4 tbsp milk 1 tsp baking powder  750g/1lb 10oz strong plain flour, plus extra for flouring 1 tsp mastic powder (a plant resin used in baking, available from specialist stores online) 2 tsp ground mahlepi, also known as mahleb (a Greek spice made from the ground stone of the St Lucie cherry) 1 tsp caster sugar 1 tsp salt  7g instant yeast  60g/2¼oz unsalted butter, softened 450ml/16fl oz full-fat milk 200g/7oz sesame seeds  dash of white wine vinegar  3 free-range egg yolks, lightly beaten",thai_and_south-east_asian
Red lentil and aubergine moussaka,"100g/3½oz red lentils 400g/14oz aubergines, sliced into thin rounds 50ml/2oz vegetable oil  salt and freshly ground black pepper 1 red onion, finely chopped  1 red pepper, finely chopped  1 garlic clove, finely chopped 50g/2oz tomato purée 400g/14oz canned chopped tomatoes, drained 1 cinnamon stick 2 tbsp chopped fresh parsley 125g/4½oz ricotta 125g/4½oz Greek-style yoghurt 3 free-range eggs freshly grated nutmeg salt and freshly ground black pepper 50g/2oz freshly grated pecorino or alternative vegetarian hard cheese",thai_and_south-east_asian
Greek-style pasta salad,"85g/3oz pasta, such as penne or conchiglie ½ unwaxed lemon, finely grated zest and juice  ¼ red onion, finely chopped ½ tbsp olive oil, ideally extra virgin ¼ cucumber, peeled and cubed 100g/3½oz cherry tomatoes, quartered  15g/½oz fresh basil, roughly chopped 60g/2¼oz feta, crumbled (optional) handful pitted black olives (optional) sea salt and freshly ground black pepper",thai_and_south-east_asian
Halloumi saganaki,"2-3 tbsp olive oil 225g/8oz block halloumi or kefalotiri cheese 1 small free-range egg, beaten 3 tbsp fine semolina 2 tbsp clear honey 1 tsp black sesame seeds 1 tsp dried oregano freshly ground black pepper",thai_and_south-east_asian
Pork souvlaki with oregano,"400g/14oz pork shoulder, cut into 3cm/1¼in cubes 2 tbsp fresh lemon juice 2 tbsp olive oil 2 tsp dried oregano ½ tsp ground cumin ½ tsp cayenne pepper 1 tsp smoked paprika 1 small garlic clove, grated ½ tsp salt",thai_and_south-east_asian
Stuffed vegetables,"1 green pepper 1 red pepper 1 yellow pepper 2 large tomatoes 2 small–medium aubergines 1 green courgette 1 yellow courgette 6 tbsp olive oil 1 large onion, finely chopped 2 garlic cloves, finely chopped 2½ tbsp tomato purée 400g/14oz long-grain rice, rinsed 250ml/9fl oz vegetable stock large handful flatleaf parsley large handful fresh mint 1 tsp dried oregano ⅛ tsp chilli flakes salt and freshly ground black pepper",thai_and_south-east_asian
Feta and greens filo triangles,"olive oil spray 1 onion, finely chopped 4 garlic cloves, finely chopped 250g/9oz cavolo nero, trimmed of thick stems and roughly chopped 250g/9oz spinach, roughly chopped 250g/9oz chard, chopped (including stems) 250g/9oz reduced-fat feta cheese, crumbled 50g/1¾oz pine nuts, toasted bunch of dill (20g/¾oz), roughly chopped ½ nutmeg, freshly grated 1 unwaxed lemon, finely grated zest only 6 sheets of filo pastry, each 45cm x 25cm/17½ in x 9½ in salt and freshly ground black pepper sesame seeds, for sprinkling 50g/1¾oz caster sugar 50ml/2fl oz red wine vinegar 400g tin chopped tomatoes ½ tsp dried chilli flakes",thai_and_south-east_asian
Galaktoboureko with orange syrup,"100g/3½oz unsalted butter, melted, plus extra for greasing 3 free-range eggs, separated 125g/4½oz golden caster sugar ½ tsp vanilla extract 90g/3¼oz semolina 1 litre/1¾ pint full-fat milk, warmed 7 sheets filo pastry 3 oranges 440g/15½oz caster sugar 2 tbsp lemon juice",thai_and_south-east_asian
"Kozani chicken with prunes, saffron and paprika","8 chicken thighs, skin removed pinch of Kozani saffron (or Spanish saffron) 4 tbsp olive oil 3 red onions, thinly sliced 1½ tbsp sweet paprika 20 pitted prunes 1 tsp salt 6 turns black peppermill",thai_and_south-east_asian
Meatballs in tomato sauce with cinnamon and cumin (Soutzoukakia),"500g/1lb 2oz beef mince 2 garlic cloves, finely chopped or grated 1 free-range egg, beaten ½ tsp ground cumin ½ tsp dried oregano 2 slices stale white bread (about 100g/3½oz), soaked in red wine, squeezed dry and torn into small pieces ½ tsp salt 12 turns black peppermill 3 tbsp olive oil 3 tbsp olive oil 1 onion, finely chopped 1 garlic clove, finely chopped 5cm/2in cinnamon stick 1 tsp ground cumin 1 tsp sugar 150ml/5fl oz red wine 1 tbsp tomato purée 500ml/18fl oz passata ½ tsp salt 12 turns black peppermill cooked rice 12 green olives",thai_and_south-east_asian
Neck of lamb with lemon and thyme,"2 tbsp olive oil 1kg/2¼lb scrag end of neck of lamb, on the bone, or chops from the neck end, or both juice of 1½  lemons, plus a little thinly pared rind 6-8 sprigs of thyme a wine glass of water, or lamb stock salt and fresh ground black pepper white bread Greek-style tomato and onion salad",thai_and_south-east_asian
"Cherry tomato, marinated feta and basil skewers","350g/12oz feta (enough to make 40 squares) 120ml/4fl oz extra virgin olive oil 1 unwaxed lemon, zest only 2 tsp freshly chopped oregano 1 tsp cracked black pepper 40 cherry tomatoes large bunch of basil 40 long skewers",thai_and_south-east_asian
Mediterranean lamb chops,"4 lean lamb chops or cutlets 1 tbsp, fresh mint 1 tbsp, fresh rosemary 2 cloves garlic 2 tbsp olive oil 1 small aubergine, sliced 1 courgette, sliced 1 red or yellow pepper, cut in large chunks 50g/2oz feta cheese, crumbled 250g/9oz cherry tomatoes",thai_and_south-east_asian
Mediterranean-style lamb chops,"2 tbsp chopped fresh mint  1 tsp finely chopped fresh rosemary  3 garlic cloves 2 tbsp olive oil 4 lean lamb chops or cutlets 1 aubergine, sliced 4 courgettes, sliced 2 red peppers, cut into large chunks 2 yellow peppers, cut into large chunks 85g/3oz feta cheese, crumbled 250g/9oz cherry tomatoes mixed leaf salad",thai_and_south-east_asian
Souvlakia with tzatziki,"1 kilo boneless pork or lamb (eg. leg fillet or steaks) 1 tbsp coriander seeds 2 tsp rigani, or dried oregano 150ml/5fl oz extra virgin olive oil 4 tbsp red wine vinegar 1 onion, grated 2 bay leaves, roughly torn salt and freshly ground black pepper ½ cucumber, peeled and finely diced 1 tbsp white or red wine vinegar salt and freshly ground black pepper 150g/5oz thick Greek-style yoghurt 1 clove garlic, crushed 1 tbsp fresh mint, finely chopped",thai_and_south-east_asian
"Spinach, feta and pine nut salad","450g/1lb baby spinach 450g/1lb feta cheese, cut into chunks or cubed 8 tsp pine nuts, lightly toasted 1 red onion, sliced finely sherry vinegar, to taste light and fruity olive oil, to drizzle",thai_and_south-east_asian
Naan bread,"250g/9oz plain flour 2 tsp sugar ½ tsp salt ½ tsp baking powder 120ml/4fl oz milk 2 tbsp vegetable oil, plus extra for greasing nigella seeds, poppy seeds or sesame seeds, or chopped garlic and fresh coriander 1 tbsp butter, melted, to serve",thai_and_south-east_asian
Kheer,"75g/2½oz basmati rice, washed 1 litre/1¾ pints whole milk 8 cardamom pods (or 1 tsp ground cardamom), lightly crushed 50g/1¾oz slivered almonds 75g/2½oz sultanas  2 tbsp caster sugar  handful pistachios, chopped, to decorate  gold leaf, to decorate (optional)",thai_and_south-east_asian
Nimki,"275g/9¾oz plain flour, plus extra for dusting 1 tsp salt 3 tsp Sichuan peppercorns, crushed 125g/4½oz cold butter or ghee, diced vegetable oil, for deep-frying 80g/2¾oz pistachios, shelled and finely chopped, to decorate 2 oranges, juice only 125g/4½oz sugar",thai_and_south-east_asian
Ghoogra,"225g/8oz fine semolina 7 tbsp melted unsalted butter 200ml/7¼fl oz water 120g/4¼oz  caster sugar 30g/1¼oz ground almonds 30g/1¼oz white poppy seeds 30g/1¼oz desiccated coconut ¼ tsp ground cardamom ¼ tsp nutmeg 600g/1lb and 5¼oz plain flour vegetable oil, for frying",thai_and_south-east_asian
Black dal,"150g/5oz urid dal 50g/2oz mung beans 480ml/17fl oz water 3 tbsp olive oil 1 large onion, finely chopped 4 cloves garlic, finely chopped 2 green chillies, finely chopped ¼ tsp ground turmeric  ½ tsp ground cumin ½ cinnamon stick, broken into pieces 4 cloves salt and freshly ground black pepper  1 large tomato, chopped 1 tsp caster sugar squeeze lemon juice small handful fresh chopped coriander",thai_and_south-east_asian
Chapatis,"450g/1 lb chapati flour or wholemeal plain flour 1 tsp salt 250ml/9 fl oz cold water butter for spreading, optional",thai_and_south-east_asian
Tarka dal,"250g/9oz chana dal, rinsed until the water runs clear 3 tbsp vegetable oil  1 tbsp cumin seeds 1 small onion, chopped 3–4 whole green chillies, pricked with a knife 2cm/¾in piece fresh root ginger, peeled and cut into thin strips 3 garlic cloves, peeled and left whole 3 tomatoes ¾ tsp ground turmeric ¾ tsp garam masala 1½ tsp ground coriander handful fresh coriander leaves, chopped salt and freshly ground black pepper",thai_and_south-east_asian
Lamb kebabs,juice of half lemon  450g/1lb lamb mince  1 tablespoon oil  55g/2oz fresh coriander leaves (washed and chopped)  4 cloves garlic (crushed)  4 green chillies (de-seeded and chopped)  ½ tsp coriander powder  1 tsp cumin powder  ½ tsp black peppercorns (crushed)  ½ tsp turmeric powder  ½ tsp garam masala  2 tsp grated ginger  1 tsp salt,thai_and_south-east_asian
Lemon rice,"2½ tbsp vegetable oil ½ tsp mustard seeds pinch fenugreek seeds 1 tsp split chana dal 1 tsp urid dal 2-3 dried red chillies, left whole  1 rounded tsp chopped fresh ginger ¼ tsp ground turmeric 4 tbsp roasted peanuts 10 curry leaves, torn in half salt, to taste 3 tbsp lemon juice, or to taste 350g/12oz freshly cooked basmati rice",thai_and_south-east_asian
Fish curry,"800g/1lb 12oz rohu steaks, gutted, scaled and cut into 2.5cm/1in-thick steaks across the bone. Alternatively use 800g/1lb 12oz monkfish, sinew removed and chopped into 2.5cm/1in pieces. ½ tsp salt, plus extra for seasoning 1 tsp turmeric 2 tbsp black mustard seeds 2–3 tbsp vegetable oil, for frying 2 medium onions, finely chopped 1 whole bulb garlic (about 8–10 cloves), peeled and pounded in a pestle and mortar ¼ tsp chilli powder 1 heaped tsp ground coriander 1 heaped tsp garam masala 1 heaped tsp paprika 450ml/16fl oz boiling water  handful of chopped coriander, plus extra leaves to garnish green chillies, finely chopped 240–360g/8½–12¼oz basmati rice, cooked according to packet instructions",thai_and_south-east_asian
Quick fish curry,"3 tbsp sunflower oil  2 large onions, finely chopped 4 garlic cloves, crushed  4cm/1½in fresh root ginger, finely grated  1 tsp ground coriander  2 tsp garam masala  10 curry leaves  2–3 tbsp palm sugar (available from Asian grocers) or light brown sugar 400g tin coconut milk  3 limes, juice only 5 vine-ripened tomatoes, chopped and blended 700g/1lb 9oz skinless salmon fillet, cut into 2cm/¾in-wide finger-length pieces 3 tbsp grated creamed coconut, to garnish  handful fresh coriander, chopped, to garnish  freshly steamed basmati rice, to serve (optional)",thai_and_south-east_asian
Goat curry,"6 whole cloves 2 black cardamom pods 4 green cardamom pods few black peppercorns 2 tbsp ghee 1 bay leaf 1 cinnamon stick 1 large onion, finely chopped 1 large red onion, finely chopped 3 small green chillies, finely sliced 4 garlic cloves, roughly chopped 5cm/2in piece fresh root ginger, peeled and roughly chopped 1.5kg/3lb 5oz goat meat (a mixture of boneless cuts and on-the-bone leg cuts), cut into bite-sized pieces 1 tbsp salt 1 tbsp turmeric 2–3 tsp mild chilli powder  2 tbsp garam masala 4 tomatoes, roughly chopped chopped fresh coriander, to serve",thai_and_south-east_asian
Gulab jamun,"225g/8oz powdered milk 110g/4oz plain flour 1¼ tsp baking powder ½ tsp bicarbonate of soda 350ml/12fl oz milk 25g/1oz butter, melted vegetable oil, for deep frying 200g/7oz caster sugar 100ml/3½fl oz water few strands saffron 1 tbsp chopped pistachio nuts 1 tbsp flaked almonds, toasted in a pan",thai_and_south-east_asian
Lamb curry with khooba roti ,"10–15 whole Kashmiri chillies 2 dry whole red chillies 3 tbsp ghee 3 tbsp sunflower oil 4 green cardamom 4 black cardamom 2.5cm/1in piece cinnamon stick 4 cloves 8 black peppercorns 3 onions, roughly chopped 1 tbsp ginger purée 1 tbsp garlic purée 1 kg/2lb 4oz boneless lamb shoulder, cut into 3cm/1¼in chunks 2 tbsp ground coriander 1 tbsp ground cumin 1 tsp fine sea salt, plus extra to season 2 tomatoes, roughly chopped ½ tsp caster sugar 100g/3½oz plain yoghurt fresh coriander, to serve 3 tbsp ghee 250g/9oz chapati flour, plus extra for dusting 2 tsp ajwain (carom seeds), nigella or cumin seeds 1 tsp fine sea salt 2 tsp dried fenugreek leaves (kasoori methi) ",thai_and_south-east_asian
Mango lassi,100ml/3½fl oz single cream 200ml/7fl oz full fat milk 400ml/14fl oz natural unsweetened yoghurt 400ml/14fl oz mango pulp 4 tsp caster sugar,thai_and_south-east_asian
Okra curry,"500g/1lb 2oz okra 2–3 tbsp olive oil ¼ tsp asafoetida  2 onions, finely sliced 1 tsp salt 1 tsp ground coriander  2 small green chillies, finely chopped handful chopped fresh coriander 1 tsp Kashmiri curry masala (see tip) pinch jeera masala (see tip)",thai_and_south-east_asian
Onion bhaji,"2 free-range eggs 3 onions, sliced 120g/4oz plain flour 1 tsp ground coriander 1 tsp cumin seeds 3 tbsp vegetable oil, plus extra if required",thai_and_south-east_asian
Pilau rice,"½ tsp coriander seeds 6 cardamom pods 1 tsp cumin seeds 8 cloves 1 cinnamon stick 2 bay leaves 75g/2½oz butter 1 small onion, finely chopped 1 garlic clove, finely chopped ½ tsp ground turmeric ½ tsp black mustard seeds 300g/10½oz basmati rice, rinsed and drained 500ml/18fl oz chicken or vegetable stock, fresh or made from 1 stock cube sea salt and freshly ground black pepper",thai_and_south-east_asian
Samosa pie ,"5 tbsp olive oil  3 small onions, finely chopped 1½ tsp salt  1 tsp ground ginger  1 tbsp garlic granules  1 tbsp cumin seeds  2 tsp dried red chilli flakes  500g/1lb 2oz lamb mince  500g/1lb 2oz potatoes, peeled and cut into small cubes 200g/7oz frozen peas  2 tbsp cornflour  a large handful fresh coriander, finely chopped  265g/9½oz plain flour  55g/2oz strong bread flour, plus extra for dusting  ½ tsp salt  1 tsp ground turmeric  135ml/4½fl oz boiling water  65g/2¼oz vegetable fat  1 free-range egg, beaten, for glazing",thai_and_south-east_asian
Garam masala,"1 tbsp cardamom seeds (if you can't buy the seeds then buy cardamom pods and shell them yourself) 1 tsp black peppercorns 1 tsp black cumin seeds (you can use regular cumin seeds if black aren't available) 1 tsp whole cloves 1/3 of a whole nutmeg (you can break a whole nutmeg by placing it on a cloth and bashing it with a meat mallet or rolling pin) a medium stick of cinnamon, about 5-8cm/2-3 inches, broken up into 3-4 pieces",thai_and_south-east_asian
Rogan josh,"5 tbsp vegetable oil 7 black peppercorns, left whole 3 black cardamom pods, left whole 5 green cardamom pods, left whole  4 cloves, left whole  1 cinnamon stick 1 piece of mace 1 onion, finely chopped 750g/1½lb lamb or mutton, cut into pieces  6 garlic cloves, peeled, left whole 2cm/¾in piece ginger, peeled and cut in half 2 tsp ground coriander 2 tsp ground cumin ½ tsp red chilli powder 2 tsp ground fennel seeds 1½ tsp garam masala salt, to taste 2 tomatoes, blended to a pulp in a food processor  3 tbsp plain yoghurt, stirred handful chopped fresh coriander, leaves and stalks",thai_and_south-east_asian
Quick veggie korma,"3 medium onions 3 cloves of garlic a thick slice of butter a thumb-sized piece of ginger 10 green cardamom pods a tsp ground cumin ½ tsp ground turmeric a couple of pinches of ground cinnamon  a cinnamon stick a good pinch of ground chilli  3 bay leaves 650g/1lb 7oz assorted mushrooms 250g/9oz spinach handful skinned hazelnuts a generous handful of raisins or golden sultanas 200g/7oz plain yoghurt 150g/5oz crème fraîche  rice or bread, to serve",thai_and_south-east_asian
Vegan chickpea curry,"1 tbsp oil 1 onion, chopped 1 garlic clove, crushed ¼ tsp salt  ½ tsp cumin powder ¼ tsp coriander powder  ¼ tsp turmeric powder ¼ tsp red chilli powder  1 fresh tomato, chopped  400g tin chickpeas, drained and rinsed 5cm/2in piece root ginger, grated pinch of garam masala pitta breads or plain basmati rice, to serve",thai_and_south-east_asian
Green chutney,"80g/2¾oz fresh coriander leaves and stalks, washed 20g/¾oz fresh mint leaves, washed 1 garlic clove, peeled and roughly chopped  2.5cm/1in piece fresh ginger, peeled and roughly chopped  ½ small onion, chopped  1-2 green chillies, or to taste, seeds removed, chopped 15 raw pistachio nuts, shells removed, chopped  2 tbsp lemon juice, or to taste salt, to taste 3 tbsp water",thai_and_south-east_asian
Champ,"1.35kg/3lb potatoes, well scrubbed and left whole in their jackets 290ml/½ pint milk 85g/3oz butter salt and white pepper 1 large bunch spring onions, finely chopped",thai_and_south-east_asian
Colcannon,"500g/1lb2oz floury potatoes, cooked 250g/9oz cabbage, shredded and lightly steamed 2 tbsp cream (optional) salt and black pepper 1 large or 2 small onions, sliced thinly  a little bacon fat, beef dripping or other oil, for frying",thai_and_south-east_asian
Potato soup,"55g/2oz butter 425g/15oz potatoes, peeled and diced to 5mm/1/3in  110g/4oz onions, diced  1 tsp salt freshly ground pepper 900ml/1½pt home-made chicken stock or vegetable stock 120ml/4fl oz creamy milk freshly chopped herbs to garnish",thai_and_south-east_asian
Paul Hollywood's soda bread,250g/9oz plain wholemeal flour 250g/9oz plain white flour 1 tsp bicarbonate of soda 1 tsp salt 420ml/15fl oz buttermilk extra flour for dusting,thai_and_south-east_asian
Soda bread,"370g/13oz plain flour, plus extra for dusting  130g/4½oz wholemeal flour  1 tsp bicarbonate of soda  1 tsp salt  40g/1½oz butter, melted  1 tbsp black treacle  300–340ml/11–12fl oz buttermilk (or alternatively use warm milk plus 1 tbsp lemon juice)",thai_and_south-east_asian
Stout bread,"vegetable oil, for greasing 200g/7oz plain flour, plus extra for dusting  2 tsp bicarbonate of soda 1 tsp salt 550g/1lb 4oz wholemeal flour, plus extra for dusting  2 tbsp dark brown sugar 300ml/½ pint stout 220ml/8fl oz buttermilk",thai_and_south-east_asian
The Ulster fry,"450g/1lb plain white flour 1 tsp bicarbonate of soda 1 tsp cream of tartar 1 tsp sea salt 1 tsp sugar 300ml/10½fl oz buttermilk 2 tbsp butter, plus extra to serve 1 kg/2lb 3oz mashed potato 125g/4½oz plain flour, plus extra for dusting salt, to taste 8 beef or pork sausages 4 ripe tomatoes, cut in half 250-300g/9-10½oz button mushrooms, cleaned 4 tbsp olive oil salt and freshly ground black pepper 8 slices ready-made black pudding 8 rashers smoked bacon 8 free-range eggs",thai_and_south-east_asian
Irish rarebit,"150ml/5fl oz whole milk 1½ tbsp plain flour 400g/14oz Irish cheddar cheese, grated 160g/6oz breadcrumbs 1 tsp English mustard powder 120ml/4fl oz stout 2 free-range eggs, yolks only 4 spring onions, finely chopped 6 slices toasted soda bread",thai_and_south-east_asian
Irish stew,"1½kg/3lb 5oz stewing beef, cut into cubes 175g/6oz streaky bacon 3 tbsp olive oil 12 baby onions, peeled 18 button mushrooms, left whole 3 carrots, cut into quarters or 12 baby carrots, scrubbed and left whole salt and freshly ground black pepper 1 tbsp chopped thyme 2 tbsp chopped parsley 10 cloves of garlic, crushed and grated 425ml/15fl oz red wine 425ml/15fl oz chicken or beef stock 50g/2oz butter 50g/1¾oz flour champ, to serve",thai_and_south-east_asian
Irish soda bread,170g/6oz self-raising wholemeal flour 170g/6oz plain flour ½ tsp salt ½ tsp bicarbonate of soda 290ml/½ pint buttermilk,thai_and_south-east_asian
Rhubarb pie,"225g/8oz butter 55g/2oz caster sugar 2 eggs, preferably free range 340g/12oz white flour, preferably unbleached 750g/1½lb red rhubarb, sliced about 1cm/½in thick 250g/9oz - 400g/14oz sugar caster sugar for sprinkling softly whipped cream barbados sugar",thai_and_south-east_asian
Boxty with crisp streaky bacon and maple syrup,"500g/1lb 2oz potato, peeled, grated 500g/1lb 2oz cold mashed potato 420g/15oz plain flour 1 heaped tsp baking powder 1-2 tbsp melted butter salt and freshly ground black pepper 200ml/7fl oz milk 1-2 tbsp olive oil 8-12 rashers smoked streaky bacon maple syrup, to serve",thai_and_south-east_asian
Homemade Irish cream,250ml/9fl oz single cream  1x 397g/14oz tin condensed milk 350ml/12fl oz Irish whiskey 1 tsp Camp coffee essence 3 tsp chocolate sauce 1 tsp vanilla essence 1 tsp almond essence,thai_and_south-east_asian
Irish beef stew,"2 tbsp vegetable oil  1kg/2lb 4oz beef stewing steak, cut into 2.5cm/1in chunks 2 onions 3 celery stalks 4 large carrots 1 litre/1¾pint beef stock (from stock cubes) 900g/2lb potatoes 25g/1oz unsalted butter sea salt and freshly ground black pepper",thai_and_south-east_asian
Irish fish chowder with soda bread,"200g/7oz wholemeal flour 275g/9¾oz strong white flour, plus extra for sprinkling 1 heaped tsp bicarbonate of soda pinch salt 200ml/7fl oz buttermilk 1 large free-range egg 1 tsp honey 1 large potato 250g/9oz un-dyed smoked haddock fillets, skin on 1 bay leaf 1 shallot, halved 650ml/22fl oz full-fat milk 30g/1oz unsalted butter 1 onion, chopped 1 clove garlic, sliced 150g/5½oz sweetcorn kernels (thawed, if frozen) handful runner beans, sliced 6 scallops, sliced 12 steamed clams 200g/7oz pollock fillet, diced 150g/5½oz raw king prawns  1 tbsp chopped fresh flat-leaf parsley freshly ground black pepper",thai_and_south-east_asian
Traditional Irish stew,"about 1kg/2¼ lb scrag end or neck of lamb on the bone 2 carrots 1 large onion 2  celery sticks 1 leek 2-3 garlic cloves, crushed 1 large bay leaf 1 large sprig fresh thyme sea salt and freshly ground black pepper 150g/5oz small carrots 150g/5oz baby or pickling onions 1 large floury potato, about 300g/10oz weight, peeled and diced finely 2 spring onions, thinly sliced a little fresh chopped parsley",thai_and_south-east_asian
Irish coffee,2 good glugs of Irish whiskey 2 tsp brown raw cane sugar enough hot strong coffee to fill the glasses 2 heaped tbsp whipped cream,thai_and_south-east_asian
White Irish stew,"2 big knobs butter glug olive oil 4 medium onions, cut into various sizes 3 cloves garlic, crushed 6 large potatoes, cut into various sizes  8 lamb chops, excess fat trimmed off and reserved - thick neck chops will be best (go to a butcher if you can) salt and freshly ground black pepper 565ml/1 pint good-quality lamb stock chopped parsley, optional",thai_and_south-east_asian
Soda bread rolls ,"450g/1lb self-raising white flour, plus extra for dusting and rolling 450g/1lb wholemeal flour 2 tsp soft brown sugar 2 tsp bicarbonate of soda 2 tsp flaked sea salt 500g/1lb 2oz full-fat natural yoghurt 350ml/12fl oz full-fat milk, plus extra for glazing",thai_and_south-east_asian
Homemade pork sausages with colcannon and apple sauce,"450g/1lb fatty minced pork 50g/2oz breadcrumbs 1 free-range egg, beaten 1 garlic clove, crushed 1 tbsp chopped fresh parsley or marjoram 3 tbsp olive or sunflower oil salt and freshly ground black pepper 1.5kg/3lb 5oz floury potatoes, scrubbed  100g/3½oz butter 500g/1lb 2oz green cabbage, outer leaves removed and discarded, inner leaves sliced 250ml/9fl oz hot milk 2 tbsp chopped fresh parsley 1 large cooking apple, peeled, cored and roughly chopped 1 tbsp water 25-50g/1-2oz caster sugar",thai_and_south-east_asian
Irish cream bread and butter pudding with cream,"100g/3½oz butter, softened ½ loaf white farmhouse bread, sliced 60g/2¼oz sultanas 3 large free-range egg yolks 2 large free-range eggs 40g/1½oz caster sugar 300ml/10½fl oz double cream 300m/10½fl oz milk 2 drops vanilla extract 5 tbsp Irish cream liqueur 20g/¾oz demerara sugar double cream, to serve",thai_and_south-east_asian
Pea and spring onion champ,"1½kg/3lb 5oz potatoes, scrubbed 100g/3½oz butter 500ml/18fl oz milk (if you want it rich use ¾ milk to ¼ cream) 450g/1lb peas 75g/2¾oz spring onions, chopped 4 tbsp chopped parsley salt and freshly ground black pepper",thai_and_south-east_asian
Potato and roast red pepper soup,"4 red peppers 55g/2oz butter 425g/15oz potatoes, peeled and chopped into 5mm/1/4in cubes 110g/4oz onions, finely chopped 1 tsp salt freshly ground pepper 900ml/1½pt home-made chicken stock or vegetable stock 120ml/4fl oz creamy milk sprigs of flatleaf parsley roasted chillies (optional)",thai_and_south-east_asian
Seared beef salad with cashel blue dressing,"350g/12oz beef fillet, trimmed and in one piece 1 tbsp olive oil 1 tsp cracked black peppercorns mixed salad leaves, to serve 1 tablespoon snipped fresh chives, to garnish fresh chervil leaves, to garnish 3 celery sticks, cut diagonally into 1cm/½in slices 3 tbsp olive oil ¼ tsp salt ½ tsp cracked black peppercorns 50g/2oz Cashel Blue cheese, crumbled Makes about 250ml/9fl oz (use only 150ml/5fl oz) ½ tsp salt ½ tsp freshly ground black pepper 2 tsp Dijon mustard 2-4 tbsp white wine vinegar 225ml/8fl oz light olive oil",thai_and_south-east_asian
Ragù,"4 tbsp olive oil 1kg/2lb 4oz chuck steak, cut into 2cm/¾in pieces 1 brown onion, finely chopped 1 garlic clove, crushed 4 sticks celery, finely chopped 1 tbsp finely chopped fresh rosemary 350ml/12fl oz Chianti red wine 600g/1lb 5oz tomato passata pappadelle pasta (approximately 100g/3½oz fresh or 50g/1¾oz dry pasta per person) freshly grated Parmesan cheese, to serve salt and freshly ground black pepper",thai_and_south-east_asian
How to make lasagne,"olive oil 1 onion, finely chopped 1 carrot, chopped 2 sticks celery, chopped 1 bay leaf 3 garlic cloves, crushed 500g/1lb 2oz beef mince 2 tbsp tomato purée 125ml/4fl oz red wine 1 x 400g/14oz tin chopped tomatoes 400-500ml/14-18fl oz beef stock  sea salt and freshly ground black pepper 75g/2½oz unsalted butter 75g/2½oz plain flour 1 litre/1¾ pint full-fat milk ¼ tsp freshly grated nutmeg  250-300g/9-10½oz dried lasagne sheets that don’t require soaking 150g/5½oz parmesan, to serve extra virgin olive oil, for drizzling",thai_and_south-east_asian
How to make lasagne,"4 tbsp olive oil 4 celery sticks, finely chopped 2 carrots, finely chopped 1 medium onion, finely chopped 2 garlic cloves, peeled and crushed 1 sprig rosemary 700g/1lb 9oz beef mince 340g/12oz pork mince 1 bottle red wine (750ml/26½fl oz) 2 x 400g/14oz cans tomatoes, roughly chopped 200ml/7fl oz beef stock salt and freshly ground black pepper 1 litre/1¾ pints whole milk 2 bay leaves ¼ onion pinch freshly grated nutmeg 50g/2oz butter 50g/2oz plain flour 14 sheets fresh lasagne pasta  3 125g/4½oz balls mozzarella, cut into small cubes small handful grated parmesan freshly ground black pepper  2 tbsp butter",thai_and_south-east_asian
Meatzza,"500g/1lb 2oz minced beef (preferably organic) 3 tbsp grated parmesan 3 tbsp breadcrumbs or porridge oats (not instant) 3 tbsp chopped fresh parsley 2 free-range eggs, lightly beaten 1 garlic clove, crushed Salt and freshly ground black pepper, to taste Butter, for greasing 1x400g/14oz can chopped tomatoes, drained 1 tsp garlic oil 1 tsp oregano 1 x 125g/4½oz ball mozzarella (not buffalo), halved, then sliced Few leaves fresh basil",thai_and_south-east_asian
